2025-07-30 14:08:42,489 INFO    MainThread:3040839 [wandb_setup.py:_flush():68] Current SDK version is 0.19.6
2025-07-30 14:08:42,490 INFO    MainThread:3040839 [wandb_setup.py:_flush():68] Configure stats pid to 3040839
2025-07-30 14:08:42,490 INFO    MainThread:3040839 [wandb_setup.py:_flush():68] Loading settings from /home/alexort/.config/wandb/settings
2025-07-30 14:08:42,490 INFO    MainThread:3040839 [wandb_setup.py:_flush():68] Loading settings from /home/alexort/foundational_possum/wandb/settings
2025-07-30 14:08:42,490 INFO    MainThread:3040839 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-07-30 14:08:42,490 INFO    MainThread:3040839 [wandb_init.py:setup_run_log_directory():637] Logging user logs to /home/alexort/foundational_possum/wandb/offline-run-20250730_140842-uo3gnprd/logs/debug.log
2025-07-30 14:08:42,490 INFO    MainThread:3040839 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to /home/alexort/foundational_possum/wandb/offline-run-20250730_140842-uo3gnprd/logs/debug-internal.log
2025-07-30 14:08:42,490 INFO    MainThread:3040839 [wandb_init.py:init():756] calling init triggers
2025-07-30 14:08:42,490 INFO    MainThread:3040839 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-07-30 14:08:42,490 INFO    MainThread:3040839 [wandb_init.py:init():789] starting backend
2025-07-30 14:08:42,706 INFO    MainThread:3040839 [wandb_init.py:init():793] sending inform_init request
2025-07-30 14:08:42,723 INFO    MainThread:3040839 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-07-30 14:08:42,727 INFO    MainThread:3040839 [wandb_init.py:init():808] backend started and connected
2025-07-30 14:08:42,729 INFO    MainThread:3040839 [wandb_init.py:init():901] updated telemetry
2025-07-30 14:08:42,746 INFO    MainThread:3040839 [wandb_init.py:init():936] communicating run to backend with 90.0 second timeout
2025-07-30 14:08:42,930 INFO    MainThread:3040839 [wandb_init.py:init():994] starting run threads in backend
2025-07-30 14:08:42,973 INFO    MainThread:3040839 [wandb_run.py:_console_start():2385] atexit reg
2025-07-30 14:08:42,973 INFO    MainThread:3040839 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-07-30 14:08:42,974 INFO    MainThread:3040839 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-07-30 14:08:42,974 INFO    MainThread:3040839 [wandb_run.py:_redirect():2325] Redirects installed.
2025-07-30 14:08:42,975 INFO    MainThread:3040839 [wandb_init.py:init():1036] run started, returning control to user process
2025-07-30 14:08:42,975 INFO    MainThread:3040839 [wandb_config.py:__setitem__():154] config set epochs = 3000 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x1480fe960350>>
2025-07-30 14:08:42,975 INFO    MainThread:3040839 [wandb_run.py:_config_callback():1253] config_cb epochs 3000 None
2025-07-30 14:08:42,975 INFO    MainThread:3040839 [wandb_watch.py:_watch():71] Watching
